Date,Open,Open,High,High,Low,Low,Close,Close,Volume,Volume
2023-08-14,493.7331187760139,112.55349553543043,502.8129503540855,113.7604545894273,491.45077494317326,112.31375709319818,501.9198303222656,113.23137664794922,1453200,599338
2023-08-15,498.49631940700175,112.8593720999079,502.2770892623469,113.62818850664034,491.98664567644335,112.57003259199783,493.365966796875,112.76016998291016,1136700,574201
2023-08-16,493.29650871717223,112.41294867177756,500.2229739900999,113.2230991937378,491.68894105811125,111.56145638988578,491.84771728515625,111.76812744140625,1056300,364127
2023-08-17,492.0461756506093,112.14015327172582,492.99880269167835,112.33855749956439,481.42824679898507,109.92462429493891,482.7182922363281,109.94943237304688,1098600,431040
2023-08-18,476.2284790292656,109.22194764172096,485.020496940955,110.95799226420385,474.0949783407368,109.22194764172096,482.2320556640625,110.40411376953125,954400,518062
2023-08-21,484.028112170681,110.63557805998344,486.2410158591899,112.60309416201629,478.1833124417349,110.63557805998344,484.5143737792969,112.56175994873047,1206100,894279
2023-08-22,486.4196737466498,112.47082706293835,490.63707071166755,112.9668376328794,482.23204543122284,111.8590806933444,484.15716552734375,112.75189971923828,898700,783077
2023-08-23,485.51664488590893,113.04949679281684,499.2604032320608,113.13216521436276,485.51664488590893,111.76812870922753,497.0177307128906,112.54521942138672,1458600,388307
2023-08-24,500.5504413397278,112.53695674974814,504.64873331111886,112.7601614961939,492.64158062385013,110.84224649562482,494.67584228515625,110.93318176269531,2217600,473533
2023-08-25,490.448562879157,111.38786104165249,517.8170073862111,111.88387160241759,490.448562879157,110.66037888586366,515.0682373046875,111.27212524414062,2457300,358502
2023-08-28,515.0682603565288,111.32172486444001,518.6604858287556,112.33855405052189,509.8883330038611,110.8918490506546,514.8896484375,111.78467559814453,1307800,518301
2023-08-29,513.8773690103365,111.60280016494988,533.3468523474903,112.16495302289152,512.6667571251428,110.48677639109212,532.3743896484375,112.0492172241211,1570200,476047
2023-08-30,533.5751937550148,112.30548300465777,538.8345241424644,112.77669301588524,532.1661038550433,111.56972649013107,536.43310546875,111.94174194335938,1688000,408057
2023-08-31,536.433080534731,112.26415287568518,540.8191565520617,112.26415287568518,530.4890411470067,111.00758525042191,537.6536254882812,111.45399475097656,1776200,714609
2023-09-01,541.1466475725396,112.40469012873201,545.6319322821197,112.85109963297533,536.3140114645469,111.82601114174992,545.3838500976562,111.91694641113281,1336500,457015
2023-09-05,544.431264065066,111.52839041323104,550.7424604268648,111.9582737553849,541.3550085765712,109.36247021664394,546.3563842773438,109.65180969238281,1372200,418471
2023-09-06,545.2052187552703,109.4782011963851,549.3730114190543,110.0238203048596,541.4244488215166,108.84165437772992,546.7235107421875,109.27153015136719,1237000,692465
2023-09-07,545.6021940313602,109.12273482171331,553.1836001262483,109.63527905010085,543.7167452022594,108.03151162579144,549.3630981445312,108.86646270751953,1209700,644944
2023-09-08,548.0730620419373,108.98220156889687,554.3545196736009,109.08140368040961,545.5525689472639,107.91577132050708,546.3364868164062,108.08111572265625,1245000,559717
2023-09-11,546.9815635101788,108.45312212458738,549.442519480132,108.94913267521649,543.7763003952476,107.93231104642682,545.086181640625,108.59365844726562,1242500,575996
2023-09-12,538.8345370449863,108.29604792050735,543.5182998970752,108.75072424096571,535.8674836311585,107.96537423290127,541.8115234375,108.60192108154297,1312600,543917
2023-09-13,540.0650136754092,108.5688497352429,541.4642311937833,109.3459328726479,534.7262799131977,107.90750238425993,537.7926025390625,108.4448471069336,1136200,740225
2023-09-14,540.9381533774837,109.25500880475921,545.3044233779946,110.8918512157593,533.833107358758,108.8499335107833,543.3991088867188,110.77611541748047,973400,624475
2023-09-15,543.9350953054435,109.79234726993509,543.9450282836492,110.42890167349782,532.8904714777786,108.8747277791975,533.9522705078125,109.30460357666016,2445500,2096665
2023-09-18,532.2057098300005,109.81715424779266,534.2995087493467,110.82570899328914,529.6554179267054,109.41207143153127,530.90576171875,110.13129425048828,886900,499388
2023-09-19,526.0632235383822,110.04036036413193,526.7677987261254,110.47023616267593,522.093908700942,108.69285752291445,525.1304321289062,109.3790054321289,1026400,378970
2023-09-20,527.0257631633028,109.8088856219349,527.3433156242648,111.18945588748022,519.3947528230397,109.56914718623668,519.5734252929688,110.0899658203125,945300,427928
2023-09-21,515.5941653781114,110.76784743235511,517.3704119555349,111.64413275314307,499.49856229209144,108.3043207733421,500.5008239746094,108.39525604248047,1729200,876204
2023-09-22,500.13369047686194,108.63498935368948,508.2112610456293,110.53637062286349,496.8193160827182,107.91576652753777,504.66864013671875,109.30460357666016,1233800,1469796
2023-09-25,502.3266872337591,108.85820353007438,507.27842788658813,109.99076856733716,500.4809704448272,108.85820353007438,504.41058349609375,109.345947265625,1279200,732803
2023-09-26,503.6465310426321,109.43687638333512,504.96631492602535,110.21396712894858,496.35290883580234,108.50272317965029,499.32989501953125,108.59365844726562,1233600,741542
2023-09-27,503.6861544386143,109.35420172277964,507.5066257340658,112.89242521477111,499.11153397450295,109.24673277627129,504.3410949707031,112.57828521728516,1260200,1646354
2023-09-28,500.59013906952316,112.89243204532725,513.6987930195236,113.93406175490563,497.335302069784,112.04094726378044,508.3104553222656,112.35508728027344,1262700,1025231
2023-09-29,518.0253679286977,112.87589421220369,520.0993009445514,113.6529773823401,504.09303455147614,112.06574367312533,507.0204162597656,112.84282684326172,1499600,1204661
2023-10-02,506.9112269419763,112.51215331056814,514.2941847456759,114.07459404488047,505.01590588493104,110.48676941042329,513.8277587890625,111.07371520996094,1621600,1219504
2023-10-03,507.36777573503576,110.85878297595724,514.4926586179157,111.95001375794737,500.5107804294892,109.09793793774489,503.5870056152344,110.07343292236328,1741600,601493
2023-10-04,509.40208873791494,110.1230310294387,515.9117631907978,112.36335288248415,504.76789995451855,109.24673818031913,513.490478515625,111.57799530029297,1561000,1299224
2023-10-05,512.9337894439559,111.27212206288651,516.9895619766878,112.4294875545442,507.52611295780304,110.5446399278963,513.2319946289062,111.09851837158203,1118700,743337
2023-10-06,508.9575050869307,110.75131073696848,531.4828242216523,114.08286333320088,508.241782381953,110.21396597939157,530.1309204101562,113.75218963623047,1766700,871416
2023-10-09,524.6239080367187,113.42151004134298,532.367595774712,116.33145371631441,523.1228711833057,113.42151004134298,531.7313842773438,115.80237579345703,1047700,749921
2023-10-10,528.9877917604153,115.94291115110451,542.0198727206116,116.15784905547525,527.5065949277233,115.08315198399372,536.9004516601562,115.09968566894531,1369300,739626
2023-10-11,538.4314077298566,115.32288460579974,541.3737798568172,116.21571109783294,533.5704507423146,115.06661250196106,538.36181640625,116.02557373046875,884200,532545
2023-10-12,541.8509174311447,116.56292211200808,546.8509959190685,116.69519158909628,537.4074481343265,113.76044746694652,540.1808471679688,114.50447082519531,1520700,618610
2023-10-13,540.1807450848438,114.63674345448632,542.3875842261228,114.71941187993961,527.1486661660881,113.10737003397269,529.88232421875,114.43833923339844,1627000,674031
2023-10-16,536.6320314496037,114.8847378636968,540.2702552305287,115.19887785070422,531.2938868166156,114.04152000383478,537.6857299804688,114.26472473144531,1063900,694380
2023-10-17,532.7850091105691,113.70258049180926,542.8250270170334,115.7362312681423,529.8923282645011,113.66951312226932,535.578369140625,115.44689178466797,1396100,511239
2023-10-18,532.1190061578869,115.1492861719065,533.9580490695652,115.1492861719065,522.4468453974997,111.70200532639335,524.2858276367188,111.74333953857422,1143100,449593
2023-10-19,527.3475776585495,111.60279255375268,530.9162712795874,112.16494537335606,516.810590950757,109.75101235008715,518.4209594726562,109.80061340332031,1328300,610111
2023-10-20,517.1981858136536,110.13955456264534,518.440757763085,110.85876978933354,501.77042341055557,108.30430815871041,503.7983093261719,109.5443344116211,1873300,846878
2023-10-23,501.99908815997526,109.04833481695601,510.06088073715375,110.16436610582292,495.5178435269528,108.70939427392786,501.03485107421875,108.8333969116211,1523300,467309
2023-10-24,503.48021057016706,109.04006936502321,510.09071770129435,109.82542696339046,496.4820670965395,108.37045511294025,502.814208984375,109.44514465332031,958900,639677
2023-10-25,497.42647620045636,109.37073847160026,497.6252998786221,110.93317921040048,479.4141551975576,109.37073847160026,480.1596984863281,109.78408813476562,2459400,655956
2023-10-26,480.1298446693822,110.07399606158914,484.0265640030468,111.3744363411538,470.7459380319682,109.45275906423855,476.6009521484375,110.22309112548828,1584400,948982
2023-10-27,476.7898141064912,109.75923746434103,479.64275463818007,110.65381545466283,471.0739827592634,107.97837210763423,476.6705017089844,108.62445831298828,1563800,508366
2023-10-30,480.81573128432035,109.09659222154022,486.78007698744534,109.16285669723833,478.9270278789103,107.86240879722526,484.60308837890625,108.67415618896484,1410200,354551
2023-10-31,486.11406512854956,108.90608037029531,493.6490391665634,110.53785062656947,482.56530234404465,108.60789023371606,492.00885009765625,110.41360473632812,1071900,762728
2023-11-01,489.762255525836,110.41359387295536,490.57739006209005,110.60410421924817,479.0761360169895,106.13123748176045,486.26318359375,107.81269836425781,2041200,1045699
2023-11-02,495.94526366310134,108.54162852670743,501.00501303134416,111.09281843582235,487.43613332899116,108.10262636999353,497.376708984375,110.91059112548828,1509200,617891
2023-11-03,489.9511192635835,111.89627721128295,499.971206616118,112.14476900253933,486.64089043674414,110.64553519529248,495.54766845703125,110.96857452392578,2419600,522969
2023-11-06,496.1142731931537,111.05968366928731,497.6451304515714,111.05968366928731,491.41239997521825,109.34508281483015,497.5258483886719,110.6455307006836,1475500,569892
2023-11-07,505.1601488636589,110.3556277619851,514.2557995420258,110.86089440263366,503.95734774519576,109.56872952768454,510.8560791015625,110.47987365722656,1409200,453783
2023-11-08,518.1127874585823,110.72836897443996,521.1247504596938,110.76978427417286,512.2677238725565,109.34509039892262,519.2758178710938,109.85035705566406,1428400,572525
