Date,Open,Open,Open,Open,High,High,High,High,Low,Low,Low,Low,Close,Close,Close,Close,Volume,Volume,Volume,Volume
2022-02-17,128.96084733258647,207.08703253775928,50.51835661447775,87.10029641141502,133.6863938764987,209.7920634399158,51.93833329366677,87.38032992458997,128.6226597568554,205.25178632090248,50.427333937422745,85.62837065507244,133.4578857421875,207.74807739257812,50.764122009277344,85.77880859375,2398900,1217700,32884700,2598000
2022-02-18,133.32079003372584,208.12208696383516,50.48194609588179,85.65150854961273,137.68072925906276,208.53088684442406,52.5117823480164,86.6675083899604,133.0374421710678,205.1300254003172,50.409128648781184,85.38767715320401,137.60760498046875,205.80845642089844,52.074867248535156,85.99403381347656,2314200,2356600,35626200,2808800
2022-02-22,137.51620172090696,205.87804275980997,51.820004135844975,86.21854431330465,138.28398575672804,208.73093561001085,52.01115385247175,86.99616024523432,135.05745179823722,205.2083048021639,50.73681893600047,85.1446856688513,135.7338409423828,207.33058166503906,51.246551513671875,85.63069915771484,1801600,1444500,25188300,2354800
2022-02-23,136.07200330575793,208.6178738101886,51.52872916752784,86.03337980553307,136.07200330575793,209.6007215349854,51.87462162312165,86.98457840015726,134.49986641138113,204.71253557569344,49.489788369434706,84.12404693298377,134.85633850097656,204.88648986816406,49.553504943847656,84.22125244140625,1087800,1060600,22033700,2332800
2022-02-24,133.67725830122728,199.69386527544785,49.21671939549502,82.8557849400891,134.11599001304762,207.1305270845696,49.908504342599656,86.7230495991389,128.7140683286175,199.32855729555718,48.433911758015434,82.53177131310035,130.926025390625,206.3651123046875,49.81747817993164,86.56104278564453,1716000,2332900,27739300,2962400
2022-02-25,131.58413561906593,208.0090311721311,50.04502759793295,86.6605832212139,134.96605335678393,209.4789696186594,51.17372746583095,87.5770611431277,130.87117737937734,205.8693679803185,49.59901164996197,85.33446203613937,134.89292907714844,208.2351837158203,51.009883880615234,87.32479858398438,1230400,2016700,18963700,1722800
2022-02-28,133.78693067730828,205.0517782298566,50.436434816211225,86.27639472097123,134.49073959756194,207.17405538572316,50.97347694433791,87.14195674333597,131.88574143044664,204.19068645114774,49.83567611968751,85.48951951311105,133.2567901611328,205.73020935058594,50.764122009277344,86.86192321777344,1064800,1754500,23868700,1718000
2022-03-01,132.7906409919221,205.56491630854447,50.54566509167455,86.69992369165979,134.0885654732408,207.3044857381272,50.836941838650695,86.95912899960074,131.4561613471564,202.14666874990792,49.389658982984905,85.341405365452,132.42503356933594,203.05123901367188,49.71734619140625,86.12828063964844,833800,1834700,17799600,1745600
2022-03-02,131.61156000335427,205.33878068972,49.85388275116924,86.35739501946378,132.90948463066925,207.53933499528577,51.31937081008709,88.7203371607998,129.93887866016524,204.58207222147317,49.79926706002521,86.16298399910451,132.37020874023438,205.912841796875,51.110015869140625,88.17414855957031,940100,1427000,18660000,2033200
2022-03-03,132.6078420875832,207.33928626529715,51.647052483102144,88.59305753687028,133.81435778347628,212.3057495953858,51.883713508137674,88.99112486176175,131.20022417084002,206.76522516356374,50.82783456510938,87.37108457301052,132.94602966308594,209.46156311035156,51.03718948364258,87.57706451416016,1050100,2164800,16794600,1554400
2022-03-04,131.36477143009208,208.0003276047559,50.67309606806057,87.49836306345468,133.302516153421,212.78414379922762,51.792695139732565,88.33615405696234,131.36477143009208,205.7301888434139,50.290796656108235,86.9105179936466,132.29708862304688,212.02743530273438,51.43769836425781,87.7020263671875,1027800,1472900,16729000,1280800
2022-03-07,131.98628372483967,212.02742408809704,51.255651314169704,87.61177703254496,134.8197899742974,212.54928695495585,51.373980096455114,87.9728140125647,129.74690695196045,204.95607009493008,50.53656038047013,85.73021485043347,132.9825897216797,205.0343475341797,50.600276947021484,85.86676025390625,1868100,2013500,21350900,1929600
2022-03-08,132.27878097257394,204.6342660119222,50.70040192486659,85.38075133509301,132.94602077453325,204.6342660119222,50.84604028143029,86.7323268988323,126.50208903273308,193.24877331616827,49.216708780172944,84.33698030532453,126.53865814208984,193.72715759277344,49.51708984375,85.05442810058594,1644700,2695600,23642400,3335200
2022-03-09,126.53866996264954,196.80260074521306,50.64579137206416,86.97532527226907,127.46183782822867,202.33317043699338,51.20103874782967,87.10956112384396,125.26816526087845,196.2434285172079,50.29079805897937,85.79500890861334,125.46925354003906,201.03134155273438,50.900657653808594,86.59346008300781,1286600,1642500,19150900,1842800
2022-03-10,125.02136042104306,198.5237856222951,49.51709442639368,85.29280428649156,125.08534938866535,200.36730866860242,50.20887581602026,85.8389858788363,119.99418182437374,196.7851031920967,49.1256906558508,84.09860237553072,121.97763061523438,199.1703338623047,49.79926681518555,85.57283782958984,2026400,1487100,18550900,1949600
2022-03-11,121.93193063438746,200.42847008162727,50.32720958811209,86.67215021755653,122.64487487279524,202.44674535266284,51.16462937292869,86.90590113378471,118.87906541381774,197.17827752188484,49.699141277206905,85.37380711179173,118.97047424316406,197.4229278564453,49.781063079833984,85.46868896484375,1596200,1295100,20330300,1487600
2022-03-14,119.34524999316363,198.93443695570795,49.817467270625684,87.70666192333957,119.82053693005008,202.96222854054824,50.427330273924454,87.70666192333957,116.1004243176278,197.4229269100162,49.15299205397846,85.92924809369929,116.64884948730469,200.57701110839844,49.426063537597656,86.7901840209961,1777700,1538700,17977500,1446000
2022-03-15,116.47516944263798,201.97494026881157,49.53530203603946,87.6835123647001,119.83880954361739,203.18066076015762,50.7277187188211,88.74116881383634,116.34720544207205,200.41100987164978,49.53530203603946,87.23684585948293,119.40007781982422,202.7001190185547,50.6093864440918,88.43335723876953,1532900,1188700,18829100,1458800
2022-03-16,119.37265104415836,203.36415876123527,50.90976502627691,88.96797561287941,120.25011444091797,211.58574977278178,50.9734816004941,90.28946347194126,117.5263014740591,203.36415876123527,49.69914317156459,88.0607500604658,120.25011444091797,211.44595336914062,50.800537109375,90.05802917480469,1303000,2025300,21821800,1496400
2022-03-17,120.78939270762724,210.72949861038123,50.50925534053661,90.0140460346545,123.17501815788532,215.18539853470688,51.24654804687472,91.41191101074219,120.13128817327816,210.6770782972989,50.381818732447,89.1322820261225,121.41094207763672,215.17666625976562,51.12821578979492,91.41191101074219,1046200,1350400,18830500,1214000
2022-03-18,121.95021737885216,217.63177800292956,51.00079066174281,91.42581337762674,122.85511459631978,219.51025695456926,51.35578401642796,93.18471557654118,120.93564072182339,215.38635686648948,50.55477461642309,90.75002207312687,122.3249740600586,218.07737731933594,50.9461784362793,92.65935516357422,1892100,2863000,51807200,2634000
2022-03-21,122.49863048655187,217.11629213486566,51.028092098948036,92.08770954127482,123.54062690153135,219.7024719433532,51.47410807305096,92.65240981659746,121.35608994613455,216.88913300689924,50.53656131450225,89.46324534177432,122.37066650390625,219.0908660888672,50.97347640991211,90.56024169921875,966400,1442900,29174600,4004000
2022-03-22,122.96480073965883,219.09089079900005,51.30116373605598,91.16197905478923,124.90254532837079,220.16556063705445,51.628850926558485,91.58087461732408,121.80397546857655,214.68741080670122,51.0553983431791,90.5301678687815,124.43639373779297,216.6707305908203,51.12821578979492,90.95368957519531,1115100,1873300,29287900,2745600
2022-03-23,125.27728784718309,216.67939928633209,50.88245991511224,91.2915733310038,126.5752122782512,218.321973192232,51.0554044096302,93.63832055735897,124.0707722417371,215.33389597929886,49.562610117559146,90.60652977060718,124.11646270751953,215.62220764160156,49.58991622924805,92.88384246826172,1132800,976800,19742100,2786400
2022-03-24,124.31756127344124,216.07657447996618,49.76285156936688,93.72164364716102,124.31756127344124,217.10755614216416,49.781056797908086,94.98296356201172,121.71257689157486,212.98365615680606,48.86171532647712,92.29832394012655,122.57176971435547,213.9971466064453,49.60811233520508,94.98296356201172,1062200,1793000,20551500,2978400
2022-03-25,122.48036322759489,214.53012524555191,49.70824722719672,95.58237242933414,124.77457993577798,217.84148400606273,50.22708416975442,95.75594816619129,122.0324822515781,214.53012524555191,49.51709750568449,94.17062169033308,124.72888946533203,216.434814453125,50.03593444824219,95.65643310546875,1077900,1601800,18090600,2333600
2022-03-28,124.76543993366835,216.77554657213187,49.88119183775604,95.35094328766128,126.74888884358569,217.33471878266582,50.208879059592924,97.97772432720237,124.76543993366835,213.22829661170863,49.535299384451235,95.30002745290768,126.71233367919922,213.6913604736328,50.190673828125,97.95226287841797,931000,1795500,17164600,2581600
2022-03-29,128.3484455881199,214.0583146845116,50.673091888427734,98.59563943792108,129.41786196957008,214.48643611329877,51.25564878171661,100.35917476341717,126.88600191518375,208.59764339153938,50.099642817798625,97.93836686349572,127.68120574951172,210.46737670898438,50.673091888427734,99.86621856689453,1316300,2182100,20036500,2710800
2022-03-30,126.25533284859793,211.7080218537668,50.7459218469587,100.51422965538013,128.10166873693748,212.91374224018267,51.82910709016879,100.71326682483054,125.94455115169147,210.21398977919714,50.600283465751524,99.6000613508259,127.50755310058594,211.26243591308594,51.01899337768555,99.98193359375,919500,1586700,16125400,1491200
2022-03-31,127.90058095264327,211.94393773998414,51.00988606609975,100.28742628096262,128.39416638986205,213.88356918920428,51.77448833910118,100.77575634692913,126.18220906896377,207.7938276869466,50.71860934041277,98.23692168786069,127.07795715332031,207.82003784179688,50.7550163269043,98.44984436035156,1141200,2555900,27587700,2050000
2022-04-01,127.44356541855942,208.51026708269126,51.128222732900895,98.50074913366173,130.66096424475117,210.4498985903019,51.146427965100216,99.16497150810558,125.73432882981601,206.55317102579906,49.963115650488454,97.51252721426347,130.55128479003906,209.5325164794922,50.66400146484375,98.10037231445312,1388400,1906100,17465100,1846000
2022-04-04,129.72862724918102,209.75095438964215,50.48194975720407,98.14897590333914,133.02828516306133,210.24896070476228,51.0827084965988,99.8893593758797,128.46727187131083,203.72236497213407,50.054138977765255,97.97077402684756,132.5347137451172,204.96302795410156,50.85514831542969,99.33623504638672,1510100,1321500,19629200,1645600
2022-04-05,132.12338370963323,203.78351948846006,50.589367334420494,98.78309524381835,134.00628818648428,210.23147105745403,50.94679164801527,101.05578167476352,131.52011898976036,203.78351948846006,50.10363371947158,98.78309524381835,131.803466796875,207.47056579589844,50.3327522277832,99.84075164794922,1379500,1227100,16063600,1981600
