Date,Open,Open,Open,High,High,High,Low,Low,Low,Close,Close,Close,Volume,Volume,Volume
2023-10-06,103.2042751471604,106.02999877929688,82.55000305175781,103.39058454612974,106.02999877929688,83.69000244140625,100.77247515842068,103.69000244140625,81.06999969482422,101.65498352050781,105.3499984741211,83.22000122070312,5606700,2587500,6761300
2023-10-09,101.1647055970594,104.86000061035156,82.48999786376953,102.76302843333072,105.81999969482422,83.31999969482422,99.99784045258147,104.13999938964844,80.80000305175781,100.01744842529297,104.70999908447266,83.08999633789062,3594200,1841600,3165100
2023-10-10,100.79209424325813,106.02999877929688,82.91000366210938,103.35136484497458,109.45999908447266,86.4000015258789,100.19395008079697,105.5999984741211,81.11000061035156,103.31214141845703,108.12000274658203,85.20999908447266,3756300,2731100,5266800
2023-10-11,104.096603251015,108.54000091552734,84.30999755859375,104.11621122527865,109.05000305175781,85.0199966430664,100.11551117611029,105.87999725341797,77.91000366210938,101.64519500732422,107.02999877929688,78.97000122070312,3948600,1490500,8706800
2023-10-12,102.16488356555482,107.2699966430664,79.69000244140625,102.23352269122681,107.69999694824219,80.13999938964844,99.12513162010022,105.80000305175781,75.04000091552734,99.85075378417969,107.47000122070312,75.48999786376953,4063300,1494200,9339000
2023-10-13,108.94056603023309,108.01000213623047,75.0,110.19568568324631,109.36000061035156,76.44000244140625,106.62643636457624,107.06999969482422,74.75,108.99940490722656,107.94000244140625,76.19000244140625,12831900,2681900,5123700
2023-10-16,109.07785747216667,108.87000274658203,77.58000183105469,113.09816543499107,111.06999969482422,80.19000244140625,108.41107414069062,108.25,76.16999816894531,111.3625717163086,110.0999984741211,78.94999694824219,5816600,1887400,5271500
2023-10-17,111.41159560905133,112.25,77.37999725341797,116.13791002424493,115.88999938964844,82.55999755859375,111.41159560905133,111.7300033569336,76.80999755859375,115.04948425292969,115.37000274658203,80.48999786376953,6353500,3836300,5475900
2023-10-18,114.82394839834413,114.86000061035156,81.48999786376953,115.38286911908207,115.16999816894531,85.2699966430664,113.1471862361303,113.52999877929688,81.47000122070312,113.76493835449219,113.75,84.12000274658203,4932100,1973500,7717000
2023-10-19,113.60805769866984,113.73999786376953,83.69000244140625,114.97104000514659,114.58999633789062,87.4800033569336,112.77458044005584,112.52999877929688,83.61000061035156,113.26486206054688,113.11000061035156,86.04000091552734,3674800,1574700,6634000
2023-10-20,113.44136519370927,113.22000122070312,86.0199966430664,114.43172869336988,113.22000122070312,87.3499984741211,112.47060218632942,110.29000091552734,85.4800033569336,112.98049926757812,110.52999877929688,85.97000122070312,3355000,2472400,4652000
2023-10-23,112.76477439107727,110.45999908447266,85.75,115.51035449912767,110.48999786376953,87.9800033569336,112.27449276328997,108.63999938964844,85.5999984741211,114.40231323242188,108.97000122070312,86.0199966430664,3675200,2082100,4042200
2023-10-24,114.52978984664266,108.80999755859375,85.4000015258789,114.72589950292407,109.16000366210938,86.83999633789062,112.20585226607834,107.19000244140625,85.26000213623047,114.27484130859375,108.02999877929688,86.3499984741211,3658900,1851700,4375200
2023-10-25,114.19639081953078,107.5199966430664,85.8499984741211,117.28516643484285,109.5999984741211,86.37000274658203,113.48058386388954,107.23999786376953,83.05999755859375,117.14788818359375,108.30000305175781,84.3499984741211,2795600,2638200,4112500
2023-10-26,116.71644550374872,108.13999938964844,84.18000030517578,120.16803242345813,109.1500015258789,84.2300033569336,116.36344212602606,105.88999938964844,80.93000030517578,118.58932495117188,108.81999969482422,81.08999633789062,4052900,2432500,6707800
2023-10-27,117.88330946537448,108.76000213623047,92.7300033569336,118.99134319160234,109.58999633789062,92.98999786376953,116.15751613333076,107.7699966430664,86.2699966430664,117.00080108642578,108.23999786376953,89.29000091552734,2915600,1823000,14954600
2023-10-30,116.83411509359833,108.37999725341797,90.16000366210938,117.87350976563933,110.44000244140625,90.58999633789062,115.6084110063409,107.95999908447266,84.70999908447266,117.59895324707031,109.8499984741211,84.91000366210938,2547000,1861200,7038400
2023-10-31,117.66758951319733,109.91999816894531,85.7300033569336,118.42261992088798,111.44999694824219,89.47000122070312,116.63799511251531,108.94999694824219,85.41000366210938,116.72624969482422,111.08999633789062,88.83000183105469,2265300,1430200,5391900
2023-11-01,116.83410750900447,111.19999694824219,88.26000213623047,117.49108306166018,111.58999633789062,94.41000366210938,113.82377876536782,108.91999816894531,87.80999755859375,114.09833526611328,111.48999786376953,94.12999725341797,3048300,1911200,6016800
2023-11-02,114.92201201751337,111.79000091552734,94.83999633789062,116.49091923120145,114.44999694824219,95.83000183105469,113.98067217796294,111.79000091552734,92.06999969482422,115.14754486083984,114.01000213623047,93.66999816894531,2613200,2898100,4425700
2023-11-03,116.19674096752676,115.0,96.56999969482422,118.14805967050026,117.6500015258789,99.01000213623047,115.71626708692702,114.98999786376953,96.06999969482422,116.92235565185547,116.3499984741211,97.45999908447266,2029200,2754900,5092300
2023-11-06,117.20671773649826,116.33000183105469,97.77999877929688,119.31493010619819,116.83999633789062,98.91000366210938,117.0400237884787,114.80000305175781,94.33999633789062,117.24594116210938,114.98999786376953,94.83999633789062,1770900,2016200,4019700
2023-11-07,117.07925228047735,115.0,95.80999755859375,119.8346325892357,116.63999938964844,97.62000274658203,116.87333489793599,114.37000274658203,95.08999633789062,118.61873626708984,116.33000183105469,95.19000244140625,1721600,1596000,3273400
2023-11-08,118.33437276812735,116.5,95.22000122070312,118.61873700705948,116.62000274658203,95.56999969482422,116.74585761719388,114.38999938964844,91.48999786376953,117.1380844116211,114.7699966430664,92.76000213623047,1637400,2080900,4631700
2023-11-09,117.45186036623723,115.54000091552734,93.2699966430664,117.83427942052613,115.54000091552734,95.29000091552734,115.45151051551635,112.88999938964844,91.70999908447266,115.70645904541016,113.61000061035156,92.4000015258789,1950800,1402300,4663600
2023-11-10,116.41246690028073,113.86000061035156,93.61000061035156,116.41246690028073,114.11000061035156,95.06999969482422,114.39250905713143,112.48999786376953,91.58999633789062,115.64762878417969,114.08000183105469,94.05000305175781,1729000,2212900,4185500
2023-11-13,115.21617706564606,113.69000244140625,96.80000305175781,115.66723524408553,114.29000091552734,100.56999969482422,114.05911217970012,111.91000366210938,94.55000305175781,115.10831451416016,112.26000213623047,98.3499984741211,1638400,1596300,5725700
2023-11-14,115.95159668642943,114.58000183105469,100.0,120.09938225281765,117.2300033569336,103.8499984741211,115.95159668642943,114.44000244140625,99.26000213623047,118.97173309326172,116.70999908447266,101.37999725341797,2965500,2122400,5479600
2023-11-15,121.17800825368332,118.5999984741211,101.37999725341797,125.62975882616486,122.19000244140625,104.25,120.52103267152238,118.5999984741211,100.86000061035156,120.59947204589844,118.72000122070312,102.11000061035156,3270700,2972400,4159500
2023-11-16,118.18727455023921,115.31999969482422,102.0,118.26572139722455,115.87999725341797,105.19000244140625,115.44170223568025,112.4000015258789,102.0,115.5201416015625,113.69999694824219,104.7699966430664,3738600,2897700,5726900
2023-11-17,116.35363507057619,114.0,104.93000030517578,119.23648584513278,115.80999755859375,106.73999786376953,115.34364867163339,113.72000122070312,104.30999755859375,118.75601196289062,115.0,104.97000122070312,3029400,1771000,5315900
2023-11-20,118.55990154887321,114.87999725341797,104.38999938964844,119.9424917875613,116.38999938964844,109.19999694824219,118.0500044892366,114.77999877929688,104.05999755859375,119.4129867553711,115.5999984741211,108.95999908447266,2248800,2795900,4313000
2023-11-21,119.45220950050236,115.7300033569336,108.41999816894531,121.0015011620286,116.31999969482422,109.6500015258789,118.67756366973923,114.48999786376953,107.80999755859375,120.89363861083984,116.06999969482422,108.95999908447266,1630100,1500600,2778000
2023-11-22,121.58983760018579,115.87000274658203,110.0,122.5704008066389,116.4000015258789,112.05000305175781,120.16802394327021,115.04000091552734,109.41999816894531,122.54098510742188,115.56999969482422,110.80000305175781,1802600,1644100,2747400
2023-11-24,122.28603120555265,115.30000305175781,110.80000305175781,123.72746025267614,117.63999938964844,113.80999755859375,121.93302786825288,115.02999877929688,110.44000244140625,123.04106903076172,117.31999969482422,112.94999694824219,1042600,1039400,1902100
2023-11-27,123.00185715997858,117.0,112.06999969482422,124.07066751750985,117.94999694824219,115.08999633789062,122.33507384701554,115.9000015258789,112.02999877929688,123.23719024658203,116.3499984741211,113.9800033569336,2098000,2772000,3687300
2023-11-28,123.2273874436779,116.44000244140625,113.37000274658203,125.79645848776414,117.29000091552734,113.7699966430664,122.65865893731367,115.01000213623047,111.29000091552734,125.02182006835938,116.04000091552734,112.19999694824219,2739200,4024900,4492400
2023-11-29,125.13948062075832,117.33000183105469,113.37999725341797,128.20864080103902,122.12999725341797,117.44000244140625,125.13948062075832,116.58000183105469,113.0,126.37499237060547,121.12000274658203,116.18000030517578,3115000,5634700,4734700
2023-11-30,126.77700920375065,121.80000305175781,116.94000244140625,128.8950293009854,124.20999908447266,117.26000213623047,125.9337242555298,120.72000122070312,114.86000061035156,128.57144165039062,123.58999633789062,115.5199966430664,5372400,3691100,4537500
2023-12-01,128.13018398133664,123.44000244140625,114.23999786376953,132.18971479109786,126.38999938964844,117.5,127.75756519943677,122.81999969482422,113.01000213623047,132.07205200195312,126.1500015258789,116.62000274658203,2859700,2400000,3074800
2023-12-04,131.84654695544717,125.43000030517578,116.25,133.91553610209166,128.52000427246094,118.79000091552734,131.51314406456063,125.2300033569336,116.19999694824219,132.2093505859375,128.22000122070312,118.23999786376953,2761100,2441200,3085000
2023-12-05,132.54271870856604,128.02000427246094,116.37000274658203,132.68981215785547,129.4499969482422,117.81999969482422,130.35606708142694,127.2699966430664,115.63999938964844,130.7973175048828,127.76000213623047,117.19999694824219,2231500,1641500,2768300
2023-12-06,131.18955384682326,128.86000061035156,117.73999786376953,132.59176710901005,128.86000061035156,119.05999755859375,129.35590531232563,125.41000366210938,116.37999725341797,131.31703186035156,126.02999877929688,117.94000244140625,4109700,2195500,2494400
2023-12-07,136.4845955407848,127.16999816894531,118.30000305175781,137.07292448923172,127.9000015258789,119.4800033569336,128.19883941194792,124.11000061035156,117.51000213623047,129.728515625,126.73999786376953,118.88999938964844,8273900,1889400,2391800
2023-12-08,130.42470784984314,126.27999877929688,118.4800033569336,132.50351204008894,127.26000213623047,119.38999938964844,123.33523999431719,124.3499984741211,116.91999816894531,124.74725341796875,124.41000366210938,116.97000122070312,6686500,1580300,2375700
