Date,Open,High,Low,Close,Volume
2023-05-19,80.68824354593492,81.30687390899827,79.53664290634951,79.6413345336914,1995100
2023-05-22,79.83166931835915,80.33609585317927,79.08931587705625,79.37483978271484,1180400
2023-05-23,79.16545176352751,80.16477811169437,78.94654914761055,79.02268981933594,1577100
2023-05-24,78.69910188978388,79.3177248717267,76.42445199343463,76.4530029296875,1424400
2023-05-25,75.70113962619772,76.21507832665138,74.27353454532916,74.48291778564453,2667600
2023-05-26,74.93974734526451,75.0444389654222,73.12193398476951,74.48291778564453,1706800
2023-05-30,74.9111939673604,75.28237069541184,73.32179543840428,74.4353256225586,2486300
2023-05-31,74.23545501702523,74.68277238212079,73.24564807879068,73.55972290039062,2423600
2023-06-01,73.5502039504046,74.05462319117188,72.43667386103066,72.90302276611328,2206700
2023-06-02,74.32112061461991,76.31025423252309,74.08318642298211,76.18653106689453,1599200
2023-06-05,76.13893412477965,76.91935790911165,75.67258518639426,75.78678894042969,1583300
2023-06-06,75.60595819837438,77.13825471278324,75.42512591991184,76.9669418334961,1148500
2023-06-07,76.90982918142777,78.0328786140094,76.49107003212822,77.281005859375,1793700
2023-06-08,77.35715694949732,77.96626784979456,75.88196943769215,75.9010009765625,1384800
2023-06-09,73.74056017778761,74.84457093605185,72.97916793947297,74.46387481689453,2374000
2023-06-12,74.62567460798236,75.62499373908219,73.91187211669344,74.09269714355469,1644400
2023-06-13,74.32111221168056,75.89147915117532,74.28304913515626,75.85340881347656,1379000
2023-06-14,76.61479066715593,76.68141193381088,74.16882807543405,74.5209732055664,1409000
2023-06-15,74.22593120208784,75.8438876872683,73.88330546457543,75.66305541992188,1770300
2023-06-16,76.12941249462493,77.02404726795807,75.14912490827449,76.47203826904297,5050700
2023-06-20,76.462529652802,76.85274521915511,74.91120131069856,75.38706970214844,2362600
2023-06-21,75.32044667769755,75.58693180896492,73.94043127884495,74.38774871826172,2180500
2023-06-22,74.10884375240255,74.82050937926837,73.51259248426614,74.2723388671875,1197200
2023-06-23,73.57028980146143,73.9549725227678,72.30084195719922,72.39701080322266,3091100
2023-06-26,72.57010617931122,73.92611090650382,72.32006134944088,73.88764190673828,2099100
2023-06-27,74.06075991655274,74.39735454379593,73.3779515763701,73.71454620361328,2926000
2023-06-28,73.81070263719286,74.04150929460334,72.43546710238603,73.78185272216797,2519000
2023-06-29,73.81071332831047,74.93590420052767,73.15675492324867,74.83011627197266,3805600
2023-06-30,75.47445519453117,76.70543386915888,74.849346772731,76.54193878173828,1965300
2023-07-03,76.45539502855928,77.37862910692924,76.12841950250026,76.67658996582031,1233800
2023-07-05,76.06109753990428,76.74391322353034,75.1282516608072,75.58024597167969,2713200
2023-07-06,74.82050702833934,75.26288959109989,73.88765381106074,75.04169464111328,2279400
2023-07-07,75.13786340937858,76.7919939780252,75.13786340937858,75.58024597167969,2117100
2023-07-10,75.64756934625137,77.21514275740711,75.35905548144885,75.60910034179688,1539600
2023-07-11,75.86875518344009,77.45556672847397,75.64756758449344,77.3593978881836,2124000
2023-07-12,78.35958034512429,79.11931942006831,78.2537924056332,78.50382995605469,2520100
2023-07-13,78.39803287167123,78.91735342208302,77.51326778750845,77.95565032958984,2317400
2023-07-14,78.12876598883679,78.60961758929997,76.2053595869841,77.03242492675781,2217800
2023-07-17,77.42671013688312,77.42671013688312,75.62832289588185,76.4361572265625,2132600
2023-07-18,76.3784620065347,79.19625251456206,76.35923117201042,79.15778350830078,2184100
